Geneid,X155L6_featureCounts,X195R2_featureCounts,X241L1_featureCounts,X242R4_featureCounts
ENSMUSG00000077318.3,23,13,9,14
ENSMUSG00000101827.2,43,47,21,44
ENSMUSG00000103494.2,0,4,4,0
ENSMUSG00000057715.14,6,4,6,2
ENSMUSG00000103825.2,0,0,0,0
ENSMUSG00000099845.2,6,0,1,0
ENSMUSG00000103561.2,0,0,0,0
ENSMUSG00000101610.2,0,0,2,0
ENSMUSG00000118923.1,0,0,0,0
ENSMUSG00000098555.3,0,0,0,0
ENSMUSG00000097628.2,0,0,0,0
ENSMUSG00000098163.2,0,0,0,0
ENSMUSG00000097171.2,0,2,0,2
ENSMUSG00000101314.2,0,0,0,0
ENSMUSG00000016918.16,1828,1036,538,524
ENSMUSG00000025938.17,27725,16096,10255,7002
ENSMUSG00000104518.2,0,0,0,0
ENSMUSG00000069620.7,0,0,0,0
ENSMUSG00000099498.2,2,6,3,6
ENSMUSG00000042414.8,79,48,12,3
ENSMUSG00000005886.15,22949,23545,20853,22985
ENSMUSG00000103506.2,282,341,270,245
ENSMUSG00000103495.2,225,171,192,210
ENSMUSG00002076346.1,52,79,52,30
ENSMUSG00000102639.2,106,70,86,72
ENSMUSG00000104170.2,318,309,356,311
ENSMUSG00000087782.3,53,42,52,33
ENSMUSG00000103085.2,855,1180,1295,1257
ENSMUSG00000102664.2,561,497,485,500
ENSMUSG00000101476.2,13,29,13,26
ENSMUSG00000101171.2,0,0,2,0
ENSMUSG00000025935.11,24332,23988,18611,18263
ENSMUSG00000120948.1,9,4,2,0
ENSMUSG00000025937.7,3192,3583,2566,2975
ENSMUSG00000102982.2,145,136,98,136
ENSMUSG00000067813.4,86,58,11,64
ENSMUSG00000077368.3,0,0,2,0
ENSMUSG00000097711.2,5,0,2,0
ENSMUSG00000102166.2,0,2,0,0
ENSMUSG00002075174.1,0,0,0,0
ENSMUSG00000104209.2,4,6,0,0
ENSMUSG00000025932.15,279,276,306,282
ENSMUSG00002075819.1,7,0,0,0
ENSMUSG00000102588.2,0,1,0,2
ENSMUSG00000054493.3,57,6,30,25
ENSMUSG00000025930.7,92,25,21,14
ENSMUSG00000103492.2,12,6,18,1
ENSMUSG00000081201.2,1,2,0,1
ENSMUSG00000082193.2,26,18,14,22
ENSMUSG00000032769.6,2,2,2,2
ENSMUSG00000088159.3,0,0,0,0
ENSMUSG00000073737.4,4,4,4,2
ENSMUSG00000092083.5,63,43,36,64
ENSMUSG00000102937.2,0,4,10,22
ENSMUSG00000104149.2,0,0,13,5
ENSMUSG00000088829.3,0,0,0,2
ENSMUSG00000077377.3,2,0,0,2
ENSMUSG00000101652.2,0,1,0,0
ENSMUSG00000100814.2,0,0,0,0
ENSMUSG00000025925.15,1101,939,947,750
ENSMUSG00000104379.2,29,37,35,58
ENSMUSG00000032719.5,12,18,22,13
ENSMUSG00002076565.1,0,0,0,0
ENSMUSG00000100652.2,0,2,0,0
ENSMUSG00000067795.14,5,2,6,4
ENSMUSG00000043716.14,22472,19263,15976,17127
ENSMUSG00000025921.8,3566,3187,2865,2747
ENSMUSG00000104165.2,13,12,18,6
ENSMUSG00000100868.2,41,29,28,29
ENSMUSG00000025920.20,2499,2282,2065,2104
ENSMUSG00000089982.8,32,58,54,62
ENSMUSG00000025939.20,2474,2321,1910,1764
ENSMUSG00000102457.2,96,56,76,59
ENSMUSG00000079658.10,2666,2499,2188,1944
ENSMUSG00000097744.2,6,4,4,10
ENSMUSG00000100959.2,2,0,1,3
ENSMUSG00000025940.7,1471,1252,1118,1059
ENSMUSG00000025779.11,373,357,229,211
ENSMUSG00000100093.2,4,0,0,0
ENSMUSG00000091020.4,40,34,29,37
ENSMUSG00000101640.2,0,0,0,0
ENSMUSG00000104133.2,0,0,0,0
ENSMUSG00000042686.6,165,100,124,114
ENSMUSG00000100110.2,0,3,0,2
ENSMUSG00000025777.9,19,16,6,2
ENSMUSG00000099899.2,0,0,0,0
ENSMUSG00000100272.2,0,0,0,0
ENSMUSG00000100398.2,0,0,0,0
ENSMUSG00000101589.2,308,362,250,298
ENSMUSG00000102048.2,0,0,1,0
ENSMUSG00000089534.3,0,0,0,0
ENSMUSG00000067780.4,15969,646,712,658
ENSMUSG00000100053.2,219,16,8,6
ENSMUSG00000085125.8,47,10,2,6
ENSMUSG00000025776.14,45,26,15,16
ENSMUSG00000099895.2,7,0,0,0
ENSMUSG00000100554.2,0,0,1,4
ENSMUSG00000099473.2,0,0,0,0
ENSMUSG00000099591.2,0,0,0,2
ENSMUSG00000109887.2,0,4,0,0
ENSMUSG00000102001.2,0,0,0,0
ENSMUSG00000101717.3,0,0,0,0
ENSMUSG00000025774.15,0,0,0,0
ENSMUSG00000070977.5,0,2,0,0
ENSMUSG00000073735.2,0,2,0,0
ENSMUSG00000067773.7,0,3,0,0
ENSMUSG00000101685.2,0,6,4,2
ENSMUSG00000101306.2,0,0,2,0
ENSMUSG00000088800.4,0,0,0,0
ENSMUSG00000101644.2,0,0,0,0
ENSMUSG00000099433.2,0,0,0,0
ENSMUSG00000089787.3,0,0,0,0
ENSMUSG00000042596.8,0,0,0,0
ENSMUSG00000100720.2,59,60,41,40
ENSMUSG00000025927.14,2,0,0,0
ENSMUSG00000100538.2,0,0,0,0
ENSMUSG00000101117.2,0,0,0,1
ENSMUSG00000100204.2,60,40,34,36
ENSMUSG00002076883.1,0,0,0,0
ENSMUSG00000102597.2,0,0,0,0
ENSMUSG00000043760.17,155,114,82,96
ENSMUSG00000104095.2,0,0,0,2
ENSMUSG00000089914.3,8,1,0,1
ENSMUSG00000090142.3,6,4,2,0
ENSMUSG00000070175.3,0,0,0,2
ENSMUSG00000099906.3,0,0,0,0
ENSMUSG00000065559.3,0,0,0,0
ENSMUSG00000065480.3,0,0,0,0
ENSMUSG00000025929.5,0,0,0,0
ENSMUSG00000041872.10,0,2,0,0
ENSMUSG00000041859.11,807,814,906,768
ENSMUSG00000099714.2,0,0,0,0
ENSMUSG00000102121.2,0,0,0,0
ENSMUSG00000088858.3,0,0,0,0
ENSMUSG00000097934.2,5,14,6,6
ENSMUSG00000025931.16,2396,1403,1538,1544
ENSMUSG00000077314.3,4,3,1,4
ENSMUSG00000100929.2,6,7,0,2
ENSMUSG00000041809.6,641,922,595,678
ENSMUSG00000041779.6,27924,29243,23538,25081
ENSMUSG00000099971.2,16,12,7,16
ENSMUSG00000100819.2,6,22,16,6
ENSMUSG00000025933.16,74,138,93,87
ENSMUSG00000102633.2,9,12,1,5
ENSMUSG00000025934.16,249,222,257,217
ENSMUSG00000099343.2,12,5,8,17
ENSMUSG00000096375.3,1,10,2,18
ENSMUSG00000121505.1,41,27,35,29
ENSMUSG00000025936.18,0,0,0,0
ENSMUSG00000093963.2,14,33,7,18
ENSMUSG00000067750.4,198,413,254,328
ENSMUSG00000086194.2,2,7,0,0
ENSMUSG00000094436.2,1,2,1,0
ENSMUSG00000041722.8,175,194,155,245
ENSMUSG00000085507.2,8,2,1,1
ENSMUSG00000094926.2,6,8,10,2
ENSMUSG00000085079.4,69,70,46,106
ENSMUSG00000085679.3,4,0,0,0
ENSMUSG00000028033.17,396,365,321,456
ENSMUSG00000104138.2,14,10,8,2
ENSMUSG00000082935.4,722,658,647,530
ENSMUSG00000103748.2,60,37,85,70
ENSMUSG00000099692.2,0,0,0,0
ENSMUSG00000100418.2,0,0,0,0
ENSMUSG00000041670.20,25,0,8,4
ENSMUSG00000097642.2,0,2,0,0
ENSMUSG00000101468.2,0,0,0,0
ENSMUSG00000101227.2,2,0,0,3
ENSMUSG00000073730.3,0,0,0,0
ENSMUSG00000089553.3,0,0,1,0
ENSMUSG00000102766.2,36,24,29,18
ENSMUSG00000065405.5,0,0,2,2
ENSMUSG00000097970.2,101,124,88,106
ENSMUSG00000065567.3,0,0,0,0
ENSMUSG00000100775.2,4,19,5,9
ENSMUSG00000101226.2,0,2,2,2
ENSMUSG00000026158.12,940,957,912,899
ENSMUSG00000097920.2,2,0,0,0
ENSMUSG00000099503.2,0,0,0,0
ENSMUSG00000026156.9,605,576,473,456
ENSMUSG00000026155.14,5366,5405,4500,4183
ENSMUSG00000026154.5,289,333,268,215
ENSMUSG00000102495.2,7,8,0,4
ENSMUSG00000026153.16,7346,7846,5817,6069
ENSMUSG00000102398.2,18,26,16,14
