Geneid,X155L6_featureCounts,X195R2_featureCounts,X241L1_featureCounts,X242R4_featureCounts
ENSMUSG00000097899.3,277,235,206,180
ENSMUSG00000102975.2,284,283,213,224
ENSMUSG00000026072.13,5881,4833,5084,4751
ENSMUSG00000103560.2,267,140,191,113
ENSMUSG00000070942.9,619,294,292,319
ENSMUSG00000103230.2,17,0,2,18
ENSMUSG00000026069.16,93,51,12,38
ENSMUSG00000026070.17,103,57,57,34
ENSMUSG00000026068.12,148,172,160,99
ENSMUSG00000104441.2,0,0,0,0
ENSMUSG00000026065.9,4,8,0,4
ENSMUSG00000102676.2,0,0,0,0
ENSMUSG00000026062.13,1364,1490,1493,1585
ENSMUSG00000103679.2,10,5,14,17
ENSMUSG00000103270.3,27,29,12,9
ENSMUSG00000041945.13,417,313,279,284
ENSMUSG00000079588.4,22,2,10,7
ENSMUSG00000094136.3,0,0,0,0
ENSMUSG00000104072.2,0,0,0,0
ENSMUSG00000100185.2,0,0,0,0
ENSMUSG00000100832.3,0,0,0,0
ENSMUSG00000100178.2,0,0,0,0
ENSMUSG00000101877.2,0,0,0,0
ENSMUSG00000053640.3,0,0,0,0
ENSMUSG00000101919.2,0,0,0,0
ENSMUSG00000101299.4,0,0,0,0
ENSMUSG00000100180.2,0,0,0,0
ENSMUSG00000103106.2,0,2,0,0
ENSMUSG00000060424.16,0,0,3,5
ENSMUSG00000104199.2,0,0,0,0
ENSMUSG00000121019.1,0,0,0,0
ENSMUSG00000045515.5,52,66,26,54
ENSMUSG00000093436.7,0,0,2,0
ENSMUSG00000097063.5,0,0,0,1
ENSMUSG00000099784.2,0,0,0,0
ENSMUSG00000060679.15,1271,1067,905,937
ENSMUSG00000077448.3,10,8,4,4
ENSMUSG00000041907.10,12,7,8,11
ENSMUSG00002075628.1,0,0,0,0
ENSMUSG00000070939.10,5761,5949,4830,5110
ENSMUSG00000100269.2,21,37,24,8
ENSMUSG00000041878.4,59,98,60,52
ENSMUSG00000010290.8,3187,3072,2318,2559
ENSMUSG00000008136.15,5124,4502,3592,4062
ENSMUSG00000094497.2,334,496,14,4
ENSMUSG00000120601.1,0,0,2,4
ENSMUSG00000099576.2,2,4,5,8
ENSMUSG00000099694.2,0,0,0,0
ENSMUSG00000101923.2,0,8,0,0
ENSMUSG00000066877.12,5958,5734,5177,5106
ENSMUSG00000103422.2,216,225,252,272
ENSMUSG00000103945.2,324,306,355,372
ENSMUSG00000026051.9,107,70,72,81
ENSMUSG00000100764.2,53,47,34,32
ENSMUSG00000100635.2,42,38,27,27
ENSMUSG00000100480.2,54,62,79,68
ENSMUSG00000057363.13,3849,3177,2211,2577
ENSMUSG00000090243.2,63,68,73,49
ENSMUSG00000100701.2,43,57,68,74
ENSMUSG00000101395.2,3,4,2,4
ENSMUSG00000088848.3,2,0,0,0
ENSMUSG00002075225.1,3,0,0,0
ENSMUSG00000120105.1,44,87,65,53
ENSMUSG00000041763.15,15705,14699,13075,12838
ENSMUSG00000047343.5,91,95,56,55
ENSMUSG00000090106.2,2,3,0,0
ENSMUSG00000091844.3,228,235,202,257
ENSMUSG00000026049.12,1898,2551,1761,2203
ENSMUSG00000101104.7,30,22,14,47
ENSMUSG00000026047.14,2369,2444,1804,2115
ENSMUSG00000041684.12,3746,4050,3196,3032
ENSMUSG00000026048.17,2403,2187,1969,1872
ENSMUSG00000046828.4,13,19,21,3
ENSMUSG00000089703.2,22,6,1,3
ENSMUSG00000100966.2,0,0,0,0
ENSMUSG00000100769.2,0,0,2,1
ENSMUSG00000101567.2,20,12,30,6
ENSMUSG00000056870.10,504,462,369,444
ENSMUSG00000102319.2,145,131,161,115
ENSMUSG00000089877.2,5,3,15,22
ENSMUSG00000101701.2,24,32,9,23
ENSMUSG00000103071.2,23,28,38,34
ENSMUSG00000100434.2,0,0,0,0
ENSMUSG00000100013.2,0,0,0,0
ENSMUSG00000101251.2,0,0,0,0
ENSMUSG00000101937.2,0,0,0,0
ENSMUSG00000026043.19,37925,26028,24313,23395
ENSMUSG00002074901.1,0,0,0,0
ENSMUSG00000026042.17,29315,12113,10281,9031
ENSMUSG00000104476.2,1750,680,564,409
ENSMUSG00000100218.2,0,0,0,2
ENSMUSG00000100361.2,2,4,6,0
ENSMUSG00000100894.2,2,0,5,4
ENSMUSG00000119267.1,8,2,0,2
ENSMUSG00000065255.3,1,0,3,0
ENSMUSG00000100843.2,16,2,2,4
ENSMUSG00000087764.3,0,0,0,0
ENSMUSG00000025995.17,2379,2472,2080,1763
ENSMUSG00000099850.2,4,6,2,6
ENSMUSG00000084817.4,1539,1014,851,1102
ENSMUSG00000121041.1,6,0,0,0
ENSMUSG00000098549.3,3,0,0,6
ENSMUSG00000099381.2,48,36,43,31
ENSMUSG00000025993.11,33044,37086,27088,28617
ENSMUSG00000099946.2,0,0,0,0
ENSMUSG00000070896.3,2,0,0,0
ENSMUSG00000090682.5,0,0,12,0
ENSMUSG00000121768.1,4,5,2,4
ENSMUSG00000044457.10,0,0,0,0
ENSMUSG00000099432.2,0,0,0,0
ENSMUSG00000041144.13,130,56,92,59
ENSMUSG00000119743.1,0,0,0,0
ENSMUSG00000101262.2,63,60,52,36
ENSMUSG00000101337.7,63,61,63,52
ENSMUSG00000025986.7,13618,13059,14105,12681
ENSMUSG00000100213.2,200,214,201,143
ENSMUSG00000103129.2,253,225,247,175
ENSMUSG00000100160.2,3,4,11,8
ENSMUSG00000101921.2,2,2,0,4
ENSMUSG00000101447.2,0,0,0,0
ENSMUSG00000081185.2,110,84,112,148
ENSMUSG00000103246.2,0,0,0,0
ENSMUSG00000098876.3,0,0,0,0
ENSMUSG00000100530.2,0,1,0,0
ENSMUSG00000104067.2,0,0,0,0
ENSMUSG00000100033.2,80,52,42,30
ENSMUSG00002075213.1,0,0,0,0
ENSMUSG00002076633.1,0,0,0,2
ENSMUSG00000101996.2,0,0,0,0
ENSMUSG00000096973.2,0,0,0,0
ENSMUSG00000064943.3,0,0,0,0
ENSMUSG00000100866.2,0,0,0,0
ENSMUSG00000101721.2,4,0,1,0
ENSMUSG00000099376.2,0,0,2,0
ENSMUSG00000097883.2,0,0,0,0
ENSMUSG00002076043.1,0,0,0,0
ENSMUSG00000099698.2,0,0,0,0
ENSMUSG00000099454.2,0,0,0,0
ENSMUSG00000051616.15,0,0,0,0
ENSMUSG00000099627.2,0,0,0,0
ENSMUSG00000099577.2,0,0,0,0
ENSMUSG00000099882.2,0,0,0,0
ENSMUSG00000101760.2,0,0,0,0
ENSMUSG00000099608.2,0,0,0,0
ENSMUSG00000099864.2,0,0,0,0
ENSMUSG00002075839.1,0,0,0,0
ENSMUSG00000100451.2,0,0,0,0
ENSMUSG00000099941.2,0,0,0,0
ENSMUSG00002075589.1,0,0,0,0
ENSMUSG00000100816.2,22,26,7,6
ENSMUSG00000026109.15,0,10,0,0
ENSMUSG00000100671.2,2,0,0,0
ENSMUSG00002075527.1,0,0,0,0
ENSMUSG00000101242.2,0,0,0,0
ENSMUSG00000099924.2,0,0,0,0
ENSMUSG00000099625.2,0,0,0,0
ENSMUSG00000101799.2,4,0,0,2
ENSMUSG00000045954.8,2255,1579,1851,1755
ENSMUSG00000099741.2,2,0,4,0
ENSMUSG00000101702.2,3,0,0,8
ENSMUSG00000026107.12,9556,8459,7093,6556
ENSMUSG00000120049.1,51,29,32,2
ENSMUSG00000099413.2,73,88,91,40
ENSMUSG00000103424.2,10,4,0,0
ENSMUSG00000101741.3,144,97,89,103
ENSMUSG00000018417.15,16682,13640,12904,12045
ENSMUSG00000101724.2,207,166,176,193
ENSMUSG00000100313.2,278,238,203,329
ENSMUSG00000100696.2,1,0,0,6
ENSMUSG00002075355.1,1,0,0,0
ENSMUSG00000072324.5,0,0,2,4
ENSMUSG00000062939.12,19,21,11,9
ENSMUSG00000101628.2,1,4,4,9
ENSMUSG00000078291.2,3,2,0,1
ENSMUSG00000109599.2,52,43,46,43
ENSMUSG00000026104.15,2500,1881,2029,1871
ENSMUSG00000099569.2,175,145,121,138
ENSMUSG00000026103.15,8313,7998,6379,6536
ENSMUSG00000099648.2,0,0,0,0
ENSMUSG00000065192.3,0,1,0,2
ENSMUSG00000002881.15,5466,4848,4335,4209
ENSMUSG00000097833.2,31,24,40,27
ENSMUSG00000101501.2,4,2,2,8
ENSMUSG00000100120.2,21,21,5,4
ENSMUSG00000099878.2,8,8,4,8
ENSMUSG00000100007.2,0,7,0,4
ENSMUSG00000043015.16,464,400,399,365
ENSMUSG00000103630.2,6,4,26,14
ENSMUSG00000041439.16,914,780,596,780
ENSMUSG00000100302.2,20,10,24,17
ENSMUSG00000100230.2,0,0,0,0
ENSMUSG00000026102.10,772,648,574,515
ENSMUSG00000041426.13,1176,1051,967,1041
ENSMUSG00000089802.2,52,23,17,25
ENSMUSG00000043629.13,730,897,704,729
ENSMUSG00000026100.7,0,0,0,0
ENSMUSG00000089334.4,0,0,0,0
ENSMUSG00000060715.10,16,23,6,16
ENSMUSG00000026098.14,504,453,496,408
ENSMUSG00000100763.2,24,6,16,15
ENSMUSG00000026097.10,980,880,816,823
ENSMUSG00000100679.3,0,0,0,0
ENSMUSG00000026096.15,40,53,37,69
ENSMUSG00000099913.2,14,14,11,5
ENSMUSG00000101838.8,11,2,7,2
ENSMUSG00000121346.1,9,5,3,3
ENSMUSG00000026095.16,204,183,164,142
ENSMUSG00000117809.2,0,0,0,0
ENSMUSG00000100267.2,0,0,0,0
ENSMUSG00000099450.2,0,1,2,0
ENSMUSG00000100069.2,2,6,8,6
ENSMUSG00000096141.3,10,17,14,11
ENSMUSG00002076105.1,0,0,0,0
ENSMUSG00000026094.15,4099,3272,3052,2540
ENSMUSG00000102405.2,0,0,6,0
ENSMUSG00000042807.16,3424,3245,3653,3340
ENSMUSG00000098443.3,13,14,15,7
ENSMUSG00000087949.3,1,8,5,2
ENSMUSG00000102868.2,6,8,14,14
ENSMUSG00000119657.1,0,0,0,0
ENSMUSG00000025983.12,64,80,26,68
ENSMUSG00000041303.8,4294,4204,3276,3366
ENSMUSG00000109809.2,0,0,0,0
ENSMUSG00000073678.5,2609,1730,1432,1686
ENSMUSG00000104136.2,20,20,19,28
ENSMUSG00000101130.2,0,2,0,0
ENSMUSG00000052331.15,6588,4242,4096,3710
ENSMUSG00000101674.7,173,111,99,134
ENSMUSG00000102503.2,186,102,110,70
ENSMUSG00002075552.1,32,23,26,7
ENSMUSG00000102642.2,285,233,277,278
ENSMUSG00000025982.14,31143,26988,22635,22223
ENSMUSG00000103030.2,54,46,39,36
ENSMUSG00000025981.14,2310,2410,1872,1632
ENSMUSG00000101122.2,95,108,74,87
ENSMUSG00000025980.15,7639,8199,6563,6650
ENSMUSG00000073676.5,2137,2082,1761,1578
ENSMUSG00000100736.2,8,5,10,15
ENSMUSG00000089670.2,79,90,88,84
ENSMUSG00000025979.14,5549,5571,4482,4226
ENSMUSG00000061863.7,31,37,12,21
ENSMUSG00000025978.15,231,162,156,206
ENSMUSG00000097649.4,16,2,7,11
ENSMUSG00000046994.10,866,893,697,580
ENSMUSG00000025977.16,5,0,7,5
ENSMUSG00000100215.2,352,262,203,292
ENSMUSG00000101945.2,0,2,0,0
ENSMUSG00000101085.2,0,0,0,0
ENSMUSG00000038349.11,1234,801,914,799
ENSMUSG00000102145.2,479,398,421,405
ENSMUSG00000100309.2,0,0,0,0
ENSMUSG00000102831.2,207,116,114,159
ENSMUSG00000099950.2,0,0,2,2
ENSMUSG00000102491.2,0,1,0,0
ENSMUSG00000100372.2,0,0,0,0
ENSMUSG00000100944.2,0,0,0,0
ENSMUSG00000101332.2,4,2,0,0
ENSMUSG00000045336.6,2,1,2,2
ENSMUSG00000038331.16,2231,2322,2104,2355
ENSMUSG00000087022.6,29,23,20,19
ENSMUSG00000104310.2,0,0,9,0
ENSMUSG00000120334.1,0,1,0,0
ENSMUSG00002075847.1,0,1,1,0
ENSMUSG00000099945.2,0,0,0,0
ENSMUSG00000101429.2,3,0,0,0
ENSMUSG00000101129.2,0,0,0,2
ENSMUSG00000097519.4,2,23,9,8
ENSMUSG00000038323.4,488,484,431,419
ENSMUSG00000048495.17,638,632,483,481
ENSMUSG00000025971.7,851,775,658,625
ENSMUSG00000077776.3,3,0,0,1
ENSMUSG00002076848.1,0,0,0,0
ENSMUSG00000101826.2,0,0,0,0
ENSMUSG00000102685.2,2,0,0,0
ENSMUSG00000101151.2,0,0,0,0
ENSMUSG00000121279.1,0,0,0,0
ENSMUSG00000038305.16,948,1006,966,1046
ENSMUSG00000091283.2,21,15,0,20
ENSMUSG00000054770.17,1121,1154,897,935
ENSMUSG00000026039.10,269,204,239,189
ENSMUSG00000063558.5,299,126,207,154
ENSMUSG00000064294.13,539,57,50,58
ENSMUSG00000089275.3,0,0,0,0
ENSMUSG00000038242.13,31,30,28,12
ENSMUSG00000089822.2,9,4,14,17
ENSMUSG00000079554.3,170,227,147,192
ENSMUSG00000103839.2,270,263,166,199
ENSMUSG00000051223.15,24292,22467,19031,17958
ENSMUSG00000026034.18,6563,6254,5145,5756
ENSMUSG00000026035.16,725,645,571,548
ENSMUSG00000026036.18,1219,1205,1151,1037
ENSMUSG00000026037.15,2044,2077,1672,1591
ENSMUSG00000119442.1,11,3,6,2
ENSMUSG00000085054.3,307,426,340,306
ENSMUSG00000038174.15,5634,5889,4967,4912
ENSMUSG00000026032.9,379,273,211,272
ENSMUSG00000100202.2,0,0,0,0
ENSMUSG00000099490.2,0,0,0,0
ENSMUSG00000059647.6,202,165,147,127
ENSMUSG00000047528.14,50,64,5,25
ENSMUSG00000121483.1,19,13,20,21
ENSMUSG00000102059.4,0,0,0,0
ENSMUSG00000101046.2,0,0,0,0
ENSMUSG00000026031.16,11980,8964,6929,5838
ENSMUSG00000100236.2,4,8,1,0
ENSMUSG00000026029.15,1534,1052,1039,910
ENSMUSG00000102719.2,413,229,257,263
ENSMUSG00000099719.2,17,5,9,11
ENSMUSG00000026028.13,17673,17799,14312,13880
ENSMUSG00000026027.14,4052,4027,3359,3364
ENSMUSG00000072295.8,14,12,15,7
ENSMUSG00000047383.9,0,0,0,0
ENSMUSG00000099752.2,0,0,2,0
ENSMUSG00000077616.3,1,0,1,0
ENSMUSG00000038079.15,868,887,729,667
ENSMUSG00000097573.4,21,19,34,16
ENSMUSG00000079550.10,161,186,129,141
ENSMUSG00000101586.2,133,132,108,130
ENSMUSG00000099563.2,21,16,31,10
ENSMUSG00000026024.15,6345,6632,5537,6190
ENSMUSG00000120458.1,8,4,14,6
ENSMUSG00000026023.17,321,184,233,189
ENSMUSG00000099922.2,6,8,7,16
ENSMUSG00000104502.2,0,1,4,2
ENSMUSG00000041075.9,4542,4532,4199,4305
ENSMUSG00000097819.2,74,80,38,65
ENSMUSG00000047361.17,101,81,97,81
ENSMUSG00000099811.7,4,1,8,6
ENSMUSG00000101409.2,0,0,0,0
ENSMUSG00000026021.16,2762,2467,2284,2219
ENSMUSG00002075401.1,0,1,0,4
ENSMUSG00000103821.2,243,259,228,201
ENSMUSG00000101400.2,14,15,2,7
ENSMUSG00000026020.10,3228,3375,2500,2425
ENSMUSG00000077345.3,30,31,35,37
ENSMUSG00000077358.3,17,32,31,26
ENSMUSG00000089512.5,32,32,13,8
ENSMUSG00000089093.5,9,23,10,10
ENSMUSG00000119961.1,178,336,152,152
ENSMUSG00000067336.7,79540,89918,65458,67138
ENSMUSG00000104052.2,624,795,675,602
ENSMUSG00000103131.2,155,186,132,109
ENSMUSG00000041040.13,9257,7421,6131,6222
ENSMUSG00000103696.2,584,687,530,547
ENSMUSG00000100901.2,185,121,134,115
ENSMUSG00000026018.13,417,308,243,249
ENSMUSG00000026019.16,1107,1170,871,907
ENSMUSG00000026017.14,1287,1349,1053,967
ENSMUSG00000082609.2,14,12,41,15
ENSMUSG00000073664.12,19480,19055,16642,17054
ENSMUSG00000100516.2,51,45,28,32
ENSMUSG00000049439.14,1815,1637,1303,1324
ENSMUSG00000103822.2,47,36,17,31
ENSMUSG00000026782.16,6966,5603,5664,5240
ENSMUSG00000026014.16,17936,15272,15280,14797
ENSMUSG00000081562.2,119,71,101,107
ENSMUSG00000084400.2,82,46,68,49
ENSMUSG00000082160.2,15,13,3,8
ENSMUSG00000103215.2,24,22,34,38
ENSMUSG00000120763.1,10,21,17,16
ENSMUSG00002075076.1,7,0,0,0
ENSMUSG00000084151.2,1,5,1,2
ENSMUSG00000101188.2,16470,16138,13331,12120
ENSMUSG00000120928.1,114,107,88,94
ENSMUSG00000026012.3,224,146,100,123
ENSMUSG00000086795.2,7,7,0,0
ENSMUSG00000085965.3,0,2,6,0
ENSMUSG00000104069.2,4,2,2,2
ENSMUSG00000083118.2,0,2,0,0
ENSMUSG00000083355.2,8,4,0,6
ENSMUSG00000102549.2,0,0,2,0
ENSMUSG00000026011.14,52,30,15,15
ENSMUSG00000081382.2,58,79,54,58
ENSMUSG00000080800.2,0,2,0,0
ENSMUSG00000026009.15,158,48,44,31
ENSMUSG00000102561.2,2,0,0,0
ENSMUSG00000082804.4,0,0,0,0
ENSMUSG00000082661.2,2,0,0,1
ENSMUSG00000080785.2,0,0,1,2
ENSMUSG00000100893.2,0,0,0,0
ENSMUSG00000085248.3,13,4,9,3
ENSMUSG00000085447.2,4,5,4,8
ENSMUSG00000086408.2,7,6,5,12
ENSMUSG00002075578.1,0,0,0,0
ENSMUSG00000100965.2,0,0,3,1
ENSMUSG00000102168.2,0,0,0,0
ENSMUSG00000100381.2,0,0,0,2
ENSMUSG00000086009.2,0,4,0,0
ENSMUSG00000052062.15,2822,1513,1641,1728
ENSMUSG00000103656.2,228,112,169,114
ENSMUSG00000104402.2,171,86,141,126
ENSMUSG00000104081.2,75,45,40,71
ENSMUSG00000085842.8,220,108,120,126
ENSMUSG00000103002.2,154,79,117,96
ENSMUSG00000100344.2,20,21,18,10
ENSMUSG00000101509.2,5,12,13,11
ENSMUSG00000085019.3,24,9,31,7
ENSMUSG00000102359.2,51,10,23,10
ENSMUSG00000085400.2,13,12,5,23
ENSMUSG00000100750.2,250,500,66,41
ENSMUSG00000081950.2,0,2,0,0
ENSMUSG00000084333.2,0,0,0,15
ENSMUSG00000025969.16,3109,2510,2599,2714
ENSMUSG00000100811.2,9,13,9,21
ENSMUSG00000103032.2,62,75,53,67
ENSMUSG00000100426.3,17,6,9,2
ENSMUSG00000040865.17,20183,18860,17813,17663
ENSMUSG00000104991.4,0,0,0,0
ENSMUSG00000088953.3,1,2,0,0
ENSMUSG00000081617.2,6,4,0,3
ENSMUSG00000081429.2,37,24,18,13
ENSMUSG00000084799.9,417,498,362,327
ENSMUSG00000101599.2,2233,1955,1778,1929
ENSMUSG00000025968.17,5528,5033,4097,4234
ENSMUSG00002076280.1,12,9,12,9
ENSMUSG00000025967.17,16273,15841,12614,13290
ENSMUSG00002076939.1,158,190,124,151
ENSMUSG00000064612.4,0,0,0,0
ENSMUSG00002074855.1,0,0,0,0
ENSMUSG00000064602.3,52,82,78,41
ENSMUSG00000046856.14,3218,2830,2657,2282
ENSMUSG00002075004.1,3,9,2,6
ENSMUSG00000086730.3,140,148,170,151
ENSMUSG00000102536.2,11,15,13,16
ENSMUSG00000087561.8,34,36,31,18
ENSMUSG00002076057.1,0,0,0,0
ENSMUSG00000027520.17,16586,16777,18469,16029
ENSMUSG00000119074.1,18,17,13,27
ENSMUSG00000083039.2,0,4,0,0
ENSMUSG00000081643.2,495,494,359,383
ENSMUSG00000025964.16,4278,4337,4306,4746
ENSMUSG00000087823.3,58,51,53,50
ENSMUSG00000115378.2,0,0,0,0
ENSMUSG00000069085.6,0,0,0,0
ENSMUSG00000083066.2,0,0,0,0
ENSMUSG00000025963.6,0,0,0,0
ENSMUSG00000025962.16,1561,1411,1256,1233
ENSMUSG00000025961.2,36,20,5,4
ENSMUSG00000080817.2,0,0,0,0
ENSMUSG00000082373.3,2,4,0,1
ENSMUSG00000044689.6,9,0,10,6
ENSMUSG00000025959.14,11842,9720,8567,9157
ENSMUSG00000098487.3,7,3,0,4
ENSMUSG00000086836.2,111,87,57,73
ENSMUSG00000086721.3,7,0,0,6
ENSMUSG00000101895.2,0,17,6,5
ENSMUSG00002076107.1,0,0,0,0
ENSMUSG00000099658.2,0,0,0,0
ENSMUSG00000025958.15,6278,5873,5178,4905
ENSMUSG00000025956.11,1450,1200,945,994
ENSMUSG00000101832.2,31,21,7,15
ENSMUSG00000100437.2,6,2,0,8
ENSMUSG00000087213.4,30,26,35,16
ENSMUSG00000070871.11,4948,3891,4069,3602
ENSMUSG00000045005.10,7838,7442,6398,6907
ENSMUSG00000102140.2,50,27,27,29
ENSMUSG00000051344.14,4561,4686,3689,3941
ENSMUSG00000097264.2,23,20,28,42
ENSMUSG00000084416.4,9120,6400,5728,5843
ENSMUSG00000077471.4,0,0,0,0
ENSMUSG00000025955.14,6,0,0,2
ENSMUSG00000090042.2,0,0,0,0
ENSMUSG00000070870.7,0,0,0,0
ENSMUSG00000067299.12,0,0,0,0
ENSMUSG00000025952.16,0,0,0,0
ENSMUSG00000073658.5,0,0,0,0
ENSMUSG00000100774.2,4,9,6,5
ENSMUSG00000044429.9,0,0,0,0
ENSMUSG00000100846.2,0,0,0,0
ENSMUSG00000044816.11,29,22,11,24
ENSMUSG00000025950.17,4585,3168,2830,3046
ENSMUSG00000025949.17,9567,8589,7424,7449
ENSMUSG00000025946.14,30,16,10,9
ENSMUSG00000100503.2,0,0,0,0
ENSMUSG00000100504.2,0,0,0,0
ENSMUSG00000099383.2,0,0,0,0
ENSMUSG00000100340.2,0,2,0,0
ENSMUSG00000100439.2,0,0,0,0
ENSMUSG00000099819.2,0,0,0,0
ENSMUSG00000082565.2,0,0,0,0
ENSMUSG00000082774.2,0,2,0,0
ENSMUSG00000025945.12,0,0,0,0
ENSMUSG00000081623.2,0,0,0,0
ENSMUSG00000083242.2,2,0,0,0
ENSMUSG00000083289.2,16,7,1,4
ENSMUSG00000015222.19,156,168,162,161
ENSMUSG00000088850.3,0,0,0,0
ENSMUSG00000073656.5,9,2,5,0
ENSMUSG00000065694.3,0,0,1,0
ENSMUSG00000055567.19,16,19,14,6
ENSMUSG00000103375.2,0,0,4,0
ENSMUSG00000026005.16,2162,1770,1757,1613
ENSMUSG00000026004.16,1802,1776,1408,1507
ENSMUSG00000102559.2,392,370,267,353
ENSMUSG00000102374.2,304,295,323,270
ENSMUSG00000102776.2,447,490,342,315
ENSMUSG00000082057.2,127,157,120,100
ENSMUSG00000103706.2,223,257,209,151
ENSMUSG00000103756.2,143,126,155,161
ENSMUSG00000121280.1,258,287,184,175
ENSMUSG00000103382.2,0,0,0,0
ENSMUSG00000103553.2,94,74,90,91
ENSMUSG00000026003.6,4780,3853,3174,3775
ENSMUSG00000082769.4,70,66,43,84
ENSMUSG00000089420.4,11,8,8,4
ENSMUSG00000077328.3,2,0,0,2
ENSMUSG00000061816.16,10,4,8,12
ENSMUSG00000094191.2,0,6,1,4
ENSMUSG00000082212.2,0,6,3,0
ENSMUSG00000026000.17,1586,1513,1178,1432
ENSMUSG00000120337.1,0,0,0,0
ENSMUSG00000025991.9,281,93,22,239
ENSMUSG00000086204.2,0,0,0,0
ENSMUSG00000077745.3,0,0,0,0
ENSMUSG00000082473.2,0,0,0,0
ENSMUSG00002076414.1,0,0,0,0
ENSMUSG00000085075.2,0,0,0,0
ENSMUSG00000104395.2,8,0,0,0
ENSMUSG00002074910.1,0,0,0,0
ENSMUSG00000087329.4,0,1,0,0
ENSMUSG00000062209.16,162,78,15,44
ENSMUSG00000102449.2,0,0,0,2
ENSMUSG00000083795.2,0,0,0,0
ENSMUSG00000080539.4,0,0,0,0
ENSMUSG00000103307.2,0,0,0,0
ENSMUSG00000104508.2,6,2,6,2
ENSMUSG00000103642.2,7,8,0,0
ENSMUSG00000103809.2,8,0,0,4
ENSMUSG00000087514.2,8,5,1,0
ENSMUSG00000084332.2,6,0,0,8
ENSMUSG00000101387.2,163,194,207,273
ENSMUSG00000099804.2,30,55,58,68
ENSMUSG00000100354.2,28,27,27,33
ENSMUSG00000101156.2,18,14,28,28
ENSMUSG00000025997.14,990,866,953,941
ENSMUSG00000100815.2,26,28,35,46
ENSMUSG00000099954.2,37,76,42,48
ENSMUSG00000103402.2,2,0,0,8
ENSMUSG00000053153.15,0,0,0,0
ENSMUSG00002076719.1,0,0,0,0
ENSMUSG00000080524.3,0,0,0,0
ENSMUSG00000101730.2,0,0,0,0
ENSMUSG00000103052.2,0,0,0,0
ENSMUSG00000104287.2,2,0,0,0
ENSMUSG00000075952.3,0,0,0,0
ENSMUSG00000045648.16,6,0,0,8
ENSMUSG00000026196.8,190,160,206,165
ENSMUSG00000089965.2,0,3,0,1
ENSMUSG00000101551.2,0,0,0,0
ENSMUSG00000050296.15,163,147,179,344
ENSMUSG00000101617.2,0,2,0,0
ENSMUSG00000026192.14,4669,4486,3677,3945
ENSMUSG00000026193.16,1093603,1331771,918412,897811
ENSMUSG00000073652.11,181,224,167,102
ENSMUSG00000101834.2,290,115,116,74
ENSMUSG00000100319.2,61,45,41,42
ENSMUSG00000102689.2,11,33,14,12
ENSMUSG00000099707.8,422,371,309,307
ENSMUSG00000101211.3,80,46,21,22
ENSMUSG00000121242.1,1,29,0,1
ENSMUSG00000101848.2,96,120,47,30
ENSMUSG00000101764.2,5,13,10,3
ENSMUSG00000059483.6,8,4,6,9
ENSMUSG00000101496.2,6,0,2,8
ENSMUSG00000102123.2,57,51,75,65
ENSMUSG00000039395.9,1550,1440,1340,1954
ENSMUSG00000118839.1,895,1390,859,759
ENSMUSG00000121277.1,171,194,190,172
ENSMUSG00000119668.1,848,752,830,795
ENSMUSG00000119873.1,1101,1130,1017,980
ENSMUSG00000118790.1,1683,1396,1368,1411
ENSMUSG00000026189.14,373,275,200,267
ENSMUSG00000026188.12,58,45,36,59
ENSMUSG00000026187.10,1210,1221,881,1041
ENSMUSG00000039372.6,29,28,18,10
ENSMUSG00000085812.2,16,20,14,18
ENSMUSG00000039354.17,2921,2294,2088,2106
ENSMUSG00000110712.2,14,24,2,18
ENSMUSG00000039342.6,6,1,4,1
ENSMUSG00000110487.2,0,0,0,0
ENSMUSG00000110596.2,0,0,0,0
ENSMUSG00000046330.11,1508,1320,1143,1375
ENSMUSG00000120056.1,63,70,73,63
ENSMUSG00000121273.1,0,0,0,0
ENSMUSG00000039323.19,6197,6992,5458,6019
ENSMUSG00000026185.9,15200,2161,2336,1739
ENSMUSG00000101968.7,223,162,286,314
ENSMUSG00000026182.7,39,23,48,59
ENSMUSG00000102266.2,13,16,10,56
ENSMUSG00000101112.2,18,5,27,19
ENSMUSG00000100697.2,4,1,0,5
ENSMUSG00000099877.7,6,0,6,4
ENSMUSG00002076669.1,0,0,0,0
ENSMUSG00000101812.2,0,1,0,0
ENSMUSG00000100044.2,0,0,0,0
ENSMUSG00000100444.2,3,8,16,4
ENSMUSG00000100429.2,0,0,2,2
ENSMUSG00000100301.7,39,58,29,71
ENSMUSG00000101344.2,20,20,32,20
ENSMUSG00002076885.1,0,5,2,1
ENSMUSG00000098504.3,0,0,3,1
ENSMUSG00000055322.17,86446,64081,62713,65982
ENSMUSG00000061815.12,963,1056,953,984
ENSMUSG00000026180.10,8287,7862,6144,6021
ENSMUSG00000121276.1,0,4,0,2
ENSMUSG00000048480.6,103,132,124,101
ENSMUSG00000087820.3,3,10,14,1
ENSMUSG00000118939.1,5,2,2,2
ENSMUSG00000006304.15,27152,24220,20059,19604
ENSMUSG00000064272.4,65,128,85,66
ENSMUSG00000006299.14,8143,7826,6162,6609
ENSMUSG00000101503.2,46,53,14,22
ENSMUSG00000026179.15,1897,2114,1638,1710
ENSMUSG00000103013.2,48,38,31,53
ENSMUSG00000006301.18,17573,15438,13856,15025
ENSMUSG00000099931.2,0,0,0,0
