"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"NUCKS1",4.03706763002624e-92,1.32519991510485,0.677,0.405,7.76408846606647e-88,"NUCKS1"
"DNAJB4",1.01065758619844e-60,1.31452792918297,0.403,0.178,1.94369666977685e-56,"DNAJB4"
"AAMDC",3.10174553952666e-40,1.3097646842384,0.333,0.165,5.96527702161767e-36,"AAMDC"
"PHF14",4.86006144409321e-38,1.30864603065591,0.298,0.141,9.34687016928007e-34,"PHF14"
"RCN2",3.90339671334153e-51,1.29636983349062,0.4,0.199,7.50701255909843e-47,"RCN2"
"ARL6IP5",2.18402465906524e-106,1.29511807279883,0.75,0.486,4.20031622431427e-102,"ARL6IP5"
"TSPAN3",5.08320754170375e-23,1.28519441965174,0.293,0.178,9.77602474420466e-19,"TSPAN3"
"PLXDC2",1.96186918634672e-36,1.2824224226329,0.37,0.206,3.77306681918201e-32,"PLXDC2"
"FILIP1L",3.57752529698637e-39,1.27249303195928,0.286,0.132,6.88029665116419e-35,"FILIP1L"
"CERS2",4.72040774292029e-30,1.27083377642222,0.292,0.154,9.07828817118431e-26,"CERS2"
"SAMHD1",1.75822184511852e-46,1.2522918825792,0.458,0.262,3.38141225253194e-42,"SAMHD1"
"ADI1",1.85400752317767e-57,1.24314739859934,0.505,0.278,3.56562726857529e-53,"ADI1"
"THUMPD1",2.90717832275111e-31,1.2413757796432,0.274,0.136,5.59108535031494e-27,"THUMPD1"
"CCDC47",4.01482199621105e-31,1.24051956632597,0.366,0.219,7.7213056631131e-27,"CCDC47"
"GYPC",3.55682615622309e-85,1.24046729043616,0.615,0.317,6.84048806364826e-81,"GYPC"
"RRAGA",6.28806129050176e-37,1.22897676632128,0.364,0.2,1.2093199473893e-32,"RRAGA"
"PCBD1",2.88443101040464e-25,1.2279655892331,0.357,0.232,5.5473377192102e-21,"PCBD1"
"SARS",7.13853914457206e-46,1.22441786077051,0.449,0.255,1.3728838482841e-41,"SARS"
"TMX2",4.87498163874684e-23,1.2225452740027,0.259,0.143,9.37556468763793e-19,"TMX2"
"CCNG1",6.24100050023114e-34,1.20700561599544,0.323,0.17,1.20026921620445e-29,"CCNG1"
"PRNP",2.14098233831523e-50,1.1980744802112,0.463,0.252,4.11753723304786e-46,"PRNP"
"SOCS3",2.05598307019963e-65,1.19627092976546,0.746,0.588,3.95406664060792e-61,"SOCS3"
"TMEM109",8.92449945024174e-43,1.19363844114773,0.357,0.176,1.71635973427049e-38,"TMEM109"
"PDIA6",2.33871770124841e-52,1.19235957561305,0.589,0.392,4.49782188304094e-48,"PDIA6"
"CHD9",5.23251940593556e-45,1.18271553518354,0.442,0.25,1.00631813214953e-40,"CHD9"
"PNISR",9.50345181125587e-71,1.16590122161267,0.635,0.373,1.82770385234073e-66,"PNISR"
"ZYX",3.58302269107763e-33,1.16299193836995,0.397,0.24,6.8908692394805e-29,"ZYX"
"ARL1",6.95719568548829e-22,1.16271298219535,0.265,0.152,1.33800787423311e-17,"ARL1"
"C7orf55",2.70449098222263e-25,1.16258239362821,0.264,0.141,5.20127705701057e-21,"C7orf55"
"SEC63",5.60324296901551e-32,1.15375744408104,0.377,0.221,1.07761568780106e-27,"SEC63"
"SUMF2",6.86945294829399e-27,1.14559664356284,0.311,0.177,1.3211331910159e-22,"SUMF2"
"JUNB",2.93610365111634e-81,1.14053749283799,0.882,0.857,5.64671454182694e-77,"JUNB"
"PDIA3",1.05159177142348e-68,1.13467258706553,0.726,0.529,2.02242129480163e-64,"PDIA3"
"MAN1A1",8.75650547836697e-22,1.13280148381551,0.259,0.145,1.68405113359953e-17,"MAN1A1"
"ARL3",3.387073604677e-28,1.12667323622302,0.254,0.125,6.51401995651481e-24,"ARL3"
"HDLBP",1.73555558743202e-17,1.12633315666108,0.282,0.181,3.33782050574927e-13,"HDLBP"
"C1orf123",7.25113590207379e-24,1.12104303236434,0.266,0.145,1.39453845668683e-19,"C1orf123"
"KDSR",5.03383161469147e-18,1.11183198407192,0.259,0.158,9.68106496137464e-14,"KDSR"
"ARL2",2.09673304339586e-50,1.1059920207836,0.494,0.285,4.03243698905891e-46,"ARL2"
"ACTG1",5.05246816918569e-125,1.10579138960377,0.958,0.884,9.71690678297792e-121,"ACTG1"
"ALDH9A1",1.27889536429577e-22,1.1038997313368,0.298,0.177,2.45957156461362e-18,"ALDH9A1"
"LDHB",2.66214092463089e-77,1.08459715762391,0.716,0.447,5.11982942625013e-73,"LDHB"
"ZNF22",1.02462182404385e-30,1.08283389099709,0.28,0.138,1.97055269200113e-26,"ZNF22"
"PPIB",9.06103566941891e-91,1.08085971236539,0.806,0.579,1.74261837994265e-86,"PPIB"
"TROVE2",8.65428370987301e-37,1.08034308767664,0.366,0.195,1.66439184308278e-32,"TROVE2"
"ZFP36",3.7293567712928e-62,1.07965262366562,0.828,0.782,7.17229894255032e-58,"ZFP36"
"LPP",2.02862207577645e-47,1.07896146172787,0.371,0.178,3.90144597613327e-43,"LPP"
"LGMN",1.4085556223885e-48,1.07415542610708,0.417,0.214,2.70893417297757e-44,"LGMN"
"ZRANB2",3.77781233267518e-19,1.07010990039152,0.283,0.169,7.26548867820091e-15,"ZRANB2"
"FOS",2.46468767974001e-83,1.06584296094503,0.886,0.84,4.74008734567598e-79,"FOS"
"TPM2",0,1.06503756921421,0.688,0.072,0,"TPM2"
"LRP10",2.33829024059342e-21,1.06258456329687,0.285,0.169,4.49699979070927e-17,"LRP10"
"PPFIBP1",1.93436979116656e-53,1.05775885077184,0.261,0.09,3.72017998237153e-49,"PPFIBP1"
"GRHPR",3.21826853853702e-20,1.05724655300484,0.32,0.207,6.18937405331439e-16,"GRHPR"
"ACTN1",5.54080499222171e-20,1.05446535218541,0.296,0.184,1.06560761610408e-15,"ACTN1"
"RND3",3.42954321759353e-73,1.05336529737229,0.38,0.139,6.59569751607588e-69,"RND3"
"ECHS1",3.84901772913098e-28,1.05185841019106,0.399,0.257,7.40243089666469e-24,"ECHS1"
"PDK4",1.4530617359744e-82,1.04683767502783,0.675,0.379,2.79452833062596e-78,"PDK4"
"CNOT4",1.31202027806587e-25,1.04491028940446,0.256,0.13,2.52327739877628e-21,"CNOT4"
"SPARC",4.88095818732857e-142,1.04023785058028,0.627,0.214,9.3870587858703e-138,"SPARC"
"HSP90B1",9.72097344839128e-58,1.039220527478,0.746,0.572,1.86953761359461e-53,"HSP90B1"
"PHACTR2",7.98472610585288e-25,1.03346007539067,0.297,0.166,1.53562252467763e-20,"PHACTR2"
"POLR2J3",1.76171836736992e-29,1.03206291862253,0.287,0.145,3.38813676412582e-25,"POLR2J3"
"ITGB1",7.48379167981422e-68,1.03030151953502,0.683,0.441,1.43928281586187e-63,"ITGB1"
"MAP1LC3A",6.76030645641711e-21,1.02703669064929,0.269,0.153,1.30014213769814e-16,"MAP1LC3A"
"DUT",3.78136361549954e-32,1.02598526086231,0.479,0.328,7.27231850532872e-28,"DUT"
"PRDX2",6.08486764699549e-38,1.02087458066073,0.477,0.299,1.17024174587017e-33,"PRDX2"
"SCARB2",2.3826990048756e-22,1.0170402982524,0.337,0.214,4.58240672617676e-18,"SCARB2"
"SLC39A1",3.70463165016505e-19,1.01521996335038,0.307,0.197,7.12474758959742e-15,"SLC39A1"
"TIMP2",4.84575394856166e-24,1.00920986182278,0.355,0.219,9.31935399387379e-20,"TIMP2"
"TLN1",3.27208476252474e-36,1.00769166254594,0.435,0.259,6.29287341528758e-32,"TLN1"
"P4HB",7.08670561471514e-44,1.0005292899719,0.628,0.457,1.36291522382202e-39,"P4HB"
"NME3",5.39413675506672e-29,0.997462679034856,0.395,0.243,1.03740038073443e-24,"NME3"
"LEPROT",2.75457435517368e-46,0.995321488614537,0.557,0.36,5.29759739987003e-42,"LEPROT"
"SEPT7",9.20286949672212e-90,0.995209633474934,0.782,0.527,1.7698958616096e-85,"SEPT7"
"TMED2",8.49264006417548e-56,0.993809812120458,0.641,0.446,1.63330453714223e-51,"TMED2"
"AK3",7.44947756291358e-19,0.992593800920685,0.265,0.157,1.43268352489954e-14,"AK3"
"EID1",2.81071814940955e-66,0.991651347730564,0.72,0.51,5.40557314494445e-62,"EID1"
"TMEM165",7.33915120295803e-27,0.988906267253943,0.453,0.312,1.41146555935289e-22,"TMEM165"
"OSBPL8",9.45139404298047e-32,0.98707842088941,0.351,0.192,1.817692102346e-27,"OSBPL8"
"DDX1",1.50702446200192e-17,0.983874261121616,0.271,0.168,2.89830944532209e-13,"DDX1"
"CAST",9.15499373903013e-46,0.979320338861257,0.627,0.451,1.76068839589027e-41,"CAST"
"SMIM7",7.22065851999853e-23,0.977934378757698,0.351,0.223,1.38867704656612e-18,"SMIM7"
"SEC62",6.60647148855617e-84,0.969757648618198,0.821,0.606,1.27055659667912e-79,"SEC62"
"CPNE3",2.15564801015307e-23,0.967455195364891,0.337,0.206,4.14574225312639e-19,"CPNE3"
"NOP56",6.49652000665898e-22,0.962954111129104,0.33,0.204,1.24941072768065e-17,"NOP56"
"EMC2",1.64102979899106e-16,0.962014246703405,0.254,0.157,3.1560285094196e-12,"EMC2"
"CCSER2",2.15563776041177e-24,0.958902276110469,0.267,0.142,4.14572254082391e-20,"CCSER2"
"CARHSP1",1.4254979491032e-50,0.958867796427802,0.432,0.21,2.74151765571527e-46,"CARHSP1"
"HM13",1.48170798084402e-16,0.958589269712201,0.324,0.221,2.84962078875922e-12,"HM13"
"ADD3",4.95276619740446e-32,0.955052387220106,0.283,0.134,9.52515995084825e-28,"ADD3"
"DNAJC19",9.62609036220529e-21,0.939486882913276,0.307,0.188,1.85128969845932e-16,"DNAJC19"
"PPIC",1.11391951883677e-17,0.937187804301506,0.283,0.176,2.14229001862687e-13,"PPIC"
"GADD45B",1.31084696602647e-38,0.930364131545052,0.784,0.704,2.52102088506211e-34,"GADD45B"
"PSMC5",5.90562230287963e-38,0.926736373945884,0.512,0.334,1.13576928128981e-33,"PSMC5"
"YIF1A",1.14571153060229e-14,0.926641671650884,0.324,0.23,2.20343241565433e-10,"YIF1A"
"TCF4",1.80553573828199e-69,0.926118794024738,0.445,0.18,3.47240633186392e-65,"TCF4"
"RPN2",1.35150006210509e-23,0.92466766419032,0.453,0.328,2.5992049194405e-19,"RPN2"
"FKBP2",1.63211939331337e-40,0.924559597019458,0.608,0.433,3.13889201722028e-36,"FKBP2"
"WBP5",2.27677623132614e-56,0.915604430212164,0.497,0.255,4.37869604808643e-52,"WBP5"
"FOSB",1.35472268151586e-41,0.915233474580389,0.665,0.505,2.60540266109131e-37,"FOSB"
"UNC50",1.01339374199767e-14,0.914876813100601,0.261,0.168,1.94895884460993e-10,"UNC50"
"SRSF10",2.0509625821201e-27,0.905684358823299,0.404,0.254,3.94441123793338e-23,"SRSF10"
"TFPI",2.24155266739028e-132,0.905405234474982,0.729,0.306,4.31095408992499e-128,"TFPI"
"SRPX",2.94284455000853e-52,0.903023238342935,0.261,0.09,5.6596786385764e-48,"SRPX"
"CCT7",2.47195275780967e-22,0.902628879451415,0.375,0.248,4.75405954381956e-18,"CCT7"
"OS9",3.87468477101444e-26,0.901571177103717,0.482,0.34,7.45179375161496e-22,"OS9"
"NFKBIZ",2.55650896190785e-37,0.899093048859136,0.542,0.351,4.91667803554118e-33,"NFKBIZ"
"LARS",1.27356546273952e-14,0.898604587849955,0.254,0.161,2.44932109794064e-10,"LARS"
"SDHD",3.25429329904002e-23,0.898047311889899,0.409,0.279,6.25865687271376e-19,"SDHD"
"TPM1",4.32851990049305e-115,0.895140887968661,0.645,0.274,8.32460947262823e-111,"TPM1"
"TXN2",3.66501973698773e-15,0.891733247575409,0.333,0.236,7.0485659581748e-11,"TXN2"
"PRDX4",1.41662972274759e-11,0.891428140409877,0.265,0.185,2.72446228278817e-07,"PRDX4"
"H2AFJ",1.42026701917458e-41,0.89124491833944,0.588,0.405,2.73145753127654e-37,"H2AFJ"
"TM2D1",4.98197050517642e-17,0.887548365649091,0.316,0.207,9.58132567555529e-13,"TM2D1"
"MRPS6",7.98297416588578e-14,0.886215339442709,0.274,0.183,1.53528559158315e-09,"MRPS6"
"ATRAID",5.20790523409896e-34,0.885515975558158,0.531,0.368,1.00158433462191e-29,"ATRAID"
"BTG2",8.25896834354704e-27,0.883185499096649,0.577,0.453,1.58836479183097e-22,"BTG2"
"ESD",3.52974368857361e-41,0.882421404359774,0.622,0.452,6.78840306186477e-37,"ESD"
"PPP2R1A",1.26771010614617e-14,0.880154377145467,0.335,0.239,2.43806007614032e-10,"PPP2R1A"
"IRF1",4.14117748605057e-35,0.878788016559853,0.555,0.37,7.96431254117246e-31,"IRF1"
"SDF4",1.29195689270386e-18,0.87679824045554,0.344,0.231,2.48469149604806e-14,"SDF4"
"EIF4A2",4.74031916076743e-81,0.876364663245436,0.83,0.619,9.11658180998792e-77,"EIF4A2"
"INTS6",1.73363921843209e-18,0.874675241961627,0.317,0.201,3.3341349448886e-14,"INTS6"
"LGALS1",3.51069700020154e-137,0.872267930361049,0.987,0.699,6.75177247078759e-133,"LGALS1"
"GINM1",4.35974193162522e-21,0.867671549872664,0.342,0.216,8.38465568290162e-17,"GINM1"
"DEGS1",2.64172617852712e-16,0.865726060584697,0.314,0.211,5.08056778654335e-12,"DEGS1"
"TMEM261",8.70286408254827e-09,0.854155103609374,0.266,0.201,0.000167373482035568,"TMEM261"
"TANK",2.2858906893908e-17,0.853258013124092,0.332,0.224,4.39622497383638e-13,"TANK"
"MRPL40",2.98014559526543e-10,0.852239280712195,0.26,0.187,5.73141600881448e-06,"MRPL40"
"DAD1",9.99747237692089e-41,0.852019147081869,0.643,0.468,1.92271388752943e-36,"DAD1"
"PTRF",2.35594922856679e-109,0.851988738036427,0.629,0.243,4.53096155637965e-105,"PTRF"
"AZI2",7.25535087656253e-14,0.850768855037977,0.324,0.227,1.3953490805805e-09,"AZI2"
"TPR",1.16874709029243e-23,0.850656874579096,0.386,0.246,2.24773440405041e-19,"TPR"
"RBMS1",2.76313598891376e-24,0.849343304428267,0.4,0.261,5.31406313387894e-20,"RBMS1"
"EEF2",8.82133548239309e-90,0.84439255327698,0.909,0.761,1.69651923997384e-85,"EEF2"
"ANXA4",2.51244828176482e-16,0.842905768048551,0.36,0.258,4.8319405354901e-12,"ANXA4"
"PSMF1",1.5728251787702e-11,0.837970481700258,0.277,0.196,3.02485738381085e-07,"PSMF1"
"KDELR1",1.31614890897154e-13,0.835723162242894,0.382,0.298,2.53121758173407e-09,"KDELR1"
"DDOST",1.40544236856411e-12,0.833310816592459,0.305,0.218,2.70294676322249e-08,"DDOST"
"CNPY2",1.54782493089367e-14,0.832452704749536,0.338,0.244,2.9767769070947e-10,"CNPY2"
"VKORC1",1.26199274550019e-21,0.831764447723463,0.41,0.286,2.42706444814597e-17,"VKORC1"
"PPP1CB",2.21846616632758e-44,0.83056384179929,0.622,0.418,4.2665541310812e-40,"PPP1CB"
"HP1BP3",1.47909684515335e-19,0.828681693675149,0.369,0.244,2.84459905259893e-15,"HP1BP3"
"EI24",9.85629357899734e-14,0.828652669631187,0.299,0.205,1.89556238111277e-09,"EI24"
"CLIC4",2.92433441322237e-24,0.828473396960616,0.322,0.183,5.62407994350926e-20,"CLIC4"
"KDELR2",1.3724622296916e-24,0.821902825761525,0.51,0.381,2.63951936014289e-20,"KDELR2"
"CYB5R3",7.34990356497297e-16,0.821503577776612,0.386,0.287,1.4135334536156e-11,"CYB5R3"
"TECR",7.54932389804341e-16,0.819743030759187,0.376,0.276,1.45188597207171e-11,"TECR"
"PSIP1",1.77870646235165e-21,0.819569618586765,0.272,0.148,3.4208082683947e-17,"PSIP1"
"ATP5G1",3.8638554323314e-20,0.819554883840024,0.464,0.345,7.43096676745975e-16,"ATP5G1"
"TATDN1",1.2226126915834e-11,0.817070546029094,0.257,0.175,2.3513287284532e-07,"TATDN1"
"SOD1",1.75985875446502e-53,0.812038269116505,0.733,0.55,3.38456035658713e-49,"SOD1"
"SPSB3",5.30613272894187e-15,0.809773243138117,0.269,0.169,1.0204754464301e-10,"SPSB3"
"NEDD9",1.90948854540534e-36,0.80875463177226,0.473,0.276,3.67232837052356e-32,"NEDD9"
"EPB41L4A-AS1",5.04425561860027e-17,0.808149968954238,0.31,0.201,9.70111240569205e-13,"EPB41L4A-AS1"
"COPS6",5.46630717169129e-20,0.807657947866886,0.378,0.255,1.05128019525967e-15,"COPS6"
"PIGP",6.65672059825516e-07,0.804865741228844,0.256,0.202,0.0128022050545643,"PIGP"
"FRMD4B",4.02064464803244e-16,0.802391391916434,0.272,0.168,7.73250378709598e-12,"FRMD4B"
"PCNP",1.15581741324425e-26,0.801692116404192,0.496,0.349,2.22286804915133e-22,"PCNP"
"NBEAL1",1.58040519236186e-13,0.799967326302265,0.273,0.18,3.03943526595032e-09,"NBEAL1"
"LUC7L3",2.07536314224243e-18,0.799534068776464,0.392,0.271,3.99133839516064e-14,"LUC7L3"
"SYPL1",2.89352827923563e-29,0.798731332086621,0.479,0.314,5.56483358662596e-25,"SYPL1"
"STAT3",1.32696342685861e-34,0.797416966034029,0.531,0.346,2.55201606253448e-30,"STAT3"
"TMEM50B",3.91251008046696e-17,0.795947410090486,0.28,0.171,7.52453938675406e-13,"TMEM50B"
"MAFF",3.78309561449179e-20,0.79461050059687,0.397,0.267,7.27564948579061e-16,"MAFF"
"ZBTB38",6.50997358081643e-20,0.787759939407566,0.265,0.149,1.25199811906262e-15,"ZBTB38"
"TMED9",3.81395263619336e-26,0.78476798095421,0.525,0.381,7.33499370992707e-22,"TMED9"
"NENF",5.92540609271599e-26,0.780632570749941,0.509,0.373,1.13957409975114e-21,"NENF"
"RAB2A",6.00412746068629e-32,0.779711901655064,0.574,0.408,1.15471379323919e-27,"RAB2A"
"DSTN",3.25141080905695e-130,0.779257456537059,0.887,0.559,6.25311326797832e-126,"DSTN"
"CCNI",3.89296997736551e-56,0.778008164754416,0.813,0.691,7.48695986046935e-52,"CCNI"
"NDUFA4",2.9907376480119e-67,0.777801459073453,0.907,0.738,5.75178664465649e-63,"NDUFA4"
"IFRD1",1.14560312527613e-21,0.765411637348679,0.451,0.315,2.20322393053105e-17,"IFRD1"
"ILK",1.9271847783268e-17,0.764732653945716,0.356,0.242,3.7063617656781e-13,"ILK"
"RPLP0",1.17522365243104e-110,0.764513846463713,0.979,0.905,2.26019012835538e-106,"RPLP0"
"CRTAP",6.83354127746915e-12,0.763736790484686,0.296,0.21,1.31422665848287e-07,"CRTAP"
"ACTR10",3.40326898892123e-12,0.761347118184684,0.32,0.232,6.54516691949331e-08,"ACTR10"
"PDIA4",7.71304522265854e-10,0.760974980507159,0.297,0.223,1.48337285722169e-05,"PDIA4"
"YIPF4",5.02588769209575e-14,0.760375457262385,0.278,0.182,9.66578720943854e-10,"YIPF4"
"IAH1",7.47750681099767e-13,0.759277822186307,0.276,0.185,1.43807410989107e-08,"IAH1"
"SBDS",9.27259560837422e-46,0.759069820645531,0.633,0.42,1.78330558740253e-41,"SBDS"
"SPTBN1",2.89180669039952e-70,0.756096079716413,0.518,0.23,5.56152262697635e-66,"SPTBN1"
"HADHA",1.93689177962825e-19,0.751236908982192,0.477,0.358,3.72503027058104e-15,"HADHA"
"VIMP",1.10019770838437e-20,0.748049989944739,0.511,0.39,2.11590023276483e-16,"VIMP"
"TTC3",2.82339073307512e-09,0.746444005820631,0.278,0.206,5.42994505785006e-05,"TTC3"
"YWHAQ",5.4482070714124e-32,0.744447762107304,0.592,0.436,1.04779918397403e-27,"YWHAQ"
"HADHB",4.60408915569283e-14,0.743009904894653,0.39,0.295,8.85458426422845e-10,"HADHB"
"PDLIM1",4.56389213471684e-64,0.742912485685654,0.62,0.356,8.77727735348742e-60,"PDLIM1"
"DNAJC3",9.05607350386834e-12,0.74055758933997,0.331,0.242,1.74166405626396e-07,"DNAJC3"
"MYADM",3.03662899053369e-17,0.731369035320729,0.373,0.258,5.84004487459439e-13,"MYADM"
"CNBP",3.54430883176163e-44,0.729480881012948,0.729,0.561,6.81641474524397e-40,"CNBP"
"IRS2",2.56846629270192e-23,0.729450743601253,0.41,0.265,4.93967437412433e-19,"IRS2"
"ERLEC1",9.11246396745302e-10,0.727145116526951,0.287,0.211,1.75250907022057e-05,"ERLEC1"
"KPNB1",1.80892755953239e-12,0.726855087479689,0.313,0.224,3.4789294824927e-08,"KPNB1"
"EIF4H",2.37920822268197e-14,0.725788563185507,0.362,0.26,4.57569325386197e-10,"EIF4H"
"NGFRAP1",7.96067251413554e-51,0.724747972160511,0.505,0.252,1.53099653791855e-46,"NGFRAP1"
"NT5C",9.4688862428547e-12,0.724438948532183,0.282,0.196,1.82105620222582e-07,"NT5C"
"DAB2",7.03416401384838e-17,0.724426773278026,0.36,0.246,1.35281042314332e-12,"DAB2"
"TMEM87A",2.57348512674401e-10,0.724279550065305,0.289,0.209,4.94932659575408e-06,"TMEM87A"
"CD46",2.81222699317905e-09,0.720015583713262,0.349,0.276,5.40847495328195e-05,"CD46"
"RPL10A",1.18975871478069e-125,0.719757571627174,0.986,0.938,2.28814396026623e-121,"RPL10A"
"DCTN2",1.54563107296718e-10,0.719612004394122,0.28,0.201,2.97255767953048e-06,"DCTN2"
"NDUFS2",3.58479116988409e-13,0.717919612212739,0.355,0.261,6.89427037792108e-09,"NDUFS2"
"NDUFV1",2.89065511488552e-10,0.716803238733556,0.31,0.233,5.55930791694783e-06,"NDUFV1"
"MYL9",5.53272897967471e-272,0.716447189051775,0.674,0.166,1.06405443737104e-267,"MYL9"
"TCEA1",7.01626603896557e-19,0.714036936867418,0.41,0.287,1.34936828461386e-14,"TCEA1"
"UBXN4",1.74352608926374e-19,0.71385243531948,0.481,0.365,3.35314937487202e-15,"UBXN4"
"MESDC2",4.99228286432929e-10,0.71127695501778,0.307,0.229,9.60115840467809e-06,"MESDC2"
"PSMC3",1.57351394930724e-14,0.708595571718098,0.373,0.273,3.02618202730769e-10,"PSMC3"
"TMEM59",9.16602215106689e-59,0.708124266853445,0.86,0.677,1.76280938009318e-54,"TMEM59"
"RPS4Y1",1.74170057638375e-17,0.704741780645741,0.349,0.22,3.34963854850123e-13,"RPS4Y1"
"GTF2H5",7.14961996475252e-12,0.702931678036661,0.372,0.284,1.3750149116212e-07,"GTF2H5"
"CIRBP",6.86098955673333e-54,0.697775800674098,0.883,0.753,1.31950551155095e-49,"CIRBP"
"AHNAK",1.25020034868338e-23,0.697295874585514,0.508,0.36,2.40438531058787e-19,"AHNAK"
"TFG",1.60707319004105e-08,0.692867313905486,0.263,0.195,0.000309072315908695,"TFG"
"NABP1",5.3980890087078e-10,0.68826014415542,0.278,0.197,1.03816047815468e-05,"NABP1"
"SF3B2",7.56477136692266e-23,0.685629904683082,0.464,0.322,1.45485682928657e-18,"SF3B2"
"STOML2",7.69534664146916e-09,0.68527207545476,0.272,0.203,0.000147996906608735,"STOML2"
"MRPS18B",3.5618439640517e-09,0.683464329797619,0.287,0.217,6.85013831166424e-05,"MRPS18B"
"MPHOSPH8",4.25709163559185e-20,0.679363426264774,0.424,0.291,8.18723863357026e-16,"MPHOSPH8"
"VDAC2",9.45408734662145e-27,0.678293549294369,0.608,0.465,1.81821007850224e-22,"VDAC2"
"ISCU",6.62491045405318e-21,0.674724393309847,0.538,0.416,1.27410277852351e-16,"ISCU"
"NUCB2",8.21238516656627e-15,0.673447113960957,0.297,0.192,1.57940591523403e-10,"NUCB2"
"YIPF3",8.58120531181477e-07,0.671968412403594,0.267,0.211,0.0165033740556822,"YIPF3"
"PARK7",6.37801608446943e-32,0.671627323676526,0.663,0.529,1.22662005336516e-27,"PARK7"
"PHPT1",8.80955776146899e-18,0.671579405169649,0.489,0.373,1.69425414868572e-13,"PHPT1"
"MPG",8.88167962747704e-12,0.671546697469138,0.33,0.241,1.70812462595638e-07,"MPG"
"THRAP3",2.91758379910371e-13,0.671530682914761,0.375,0.281,5.61109716243625e-09,"THRAP3"
"EIF4A1",2.73079946204605e-33,0.671180522056146,0.662,0.503,5.25187352540697e-29,"EIF4A1"
"PCF11",1.16349093727327e-11,0.669363225788558,0.317,0.228,2.23762577056396e-07,"PCF11"
"GOLGA4",2.78026855474746e-10,0.667784172123087,0.276,0.196,5.34701248449031e-06,"GOLGA4"
"CHIC2",3.50060477408435e-12,0.667529497093886,0.27,0.182,6.73236310151902e-08,"CHIC2"
"DYNC1LI2",5.12261276571669e-13,0.667126316550699,0.25,0.157,9.85180887102634e-09,"DYNC1LI2"
"TMEM205",3.69267669338469e-08,0.666884719778864,0.316,0.252,0.000710175581671744,"TMEM205"
"TMEM14C",1.22774032441988e-15,0.666524671065009,0.462,0.363,2.36119019192431e-11,"TMEM14C"
"C6orf48",7.25144608246952e-31,0.663159046611957,0.648,0.486,1.39459811058054e-26,"C6orf48"
"CAT",1.05058335070652e-08,0.662451589980597,0.359,0.296,0.000202048190007877,"CAT"
"CAMLG",3.82531389121459e-14,0.661319251104407,0.391,0.29,7.35684367558391e-10,"CAMLG"
"RBMX",1.26043017699715e-20,0.659096708702467,0.477,0.347,2.42405931640092e-16,"RBMX"
"MYDGF",4.74209644746504e-16,0.657890542843185,0.531,0.427,9.11999988776476e-12,"MYDGF"
"CEBPD",1.85648228165239e-34,0.65563294187135,0.73,0.561,3.57038672407388e-30,"CEBPD"
"RPL3",1.52294614491452e-130,0.653659359924579,0.996,0.989,2.9289300258996e-126,"RPL3"
"RBBP7",9.78679149002799e-13,0.644177756380441,0.26,0.169,1.88219573936218e-08,"RBBP7"
"S100A16",5.52724317953526e-25,0.641486005529863,0.309,0.163,1.06299940828822e-20,"S100A16"
"TSC22D3",6.22754067889316e-70,0.64013562348072,0.842,0.657,1.19768062336473e-65,"TSC22D3"
"APLP2",1.43529325919122e-29,0.63355871448904,0.711,0.562,2.76035599607656e-25,"APLP2"
"ACADVL",7.19352418349126e-12,0.633448884642636,0.448,0.368,1.38345857096904e-07,"ACADVL"
"TUFM",1.1993110165332e-13,0.632609561028581,0.472,0.383,2.30651494699665e-09,"TUFM"
"ARF4",9.39461361554402e-19,0.628721586723719,0.547,0.444,1.80677209054143e-14,"ARF4"
"EIF3E",6.18987768251105e-47,0.628510049169537,0.873,0.746,1.19043727590053e-42,"EIF3E"
"TNRC6B",2.85658235620899e-12,0.6260169866402,0.293,0.199,5.49377918746113e-08,"TNRC6B"
"EMC4",2.70863618186281e-12,0.625626406873771,0.357,0.263,5.20924910495856e-08,"EMC4"
"PRKCSH",6.66748889615033e-08,0.625451400540362,0.297,0.232,0.00128229146450763,"PRKCSH"
"ARMCX3",2.7312413723967e-09,0.614102313491348,0.25,0.174,5.25272340739333e-05,"ARMCX3"
"SNRPN",1.09277037226629e-12,0.611151369727863,0.289,0.193,2.10161597994254e-08,"SNRPN"
"DYNC1I2",1.17460434515916e-12,0.609459921880671,0.382,0.283,2.2589990766101e-08,"DYNC1I2"
"COMT",2.14512444813886e-10,0.60935107285359,0.441,0.361,4.12550333866065e-06,"COMT"
"PSMB5",5.77383035813888e-11,0.606928939386907,0.406,0.328,1.11042305447727e-06,"PSMB5"
"RHEB",6.34382426701106e-21,0.604436959892772,0.601,0.476,1.22004428303157e-16,"RHEB"
"LINC00657",9.42570160828915e-08,0.603366736696508,0.323,0.254,0.00181275093330617,"LINC00657"
"MTCH1",6.37971207432466e-12,0.602988296700894,0.413,0.328,1.22694622613412e-07,"MTCH1"
"SCPEP1",4.21001496657275e-08,0.599331292741422,0.34,0.273,0.000809670078371271,"SCPEP1"
"ACAT1",8.83053211532263e-09,0.594634308339747,0.327,0.258,0.000169828793641885,"ACAT1"
"BCLAF1",6.3862249340503e-13,0.593976191759021,0.411,0.315,1.22819877931655e-08,"BCLAF1"
"OTUD6B-AS1",4.00993951782806e-09,0.592618082632736,0.256,0.18,7.71191568068693e-05,"OTUD6B-AS1"
