"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"IGFBP6",0,4.1959564368841,0.424,0.04,0,"IGFBP6"
"IGFBP5",0,4.17496480957405,0.713,0.035,0,"IGFBP5"
"SSPN",4.58073521302609e-274,4.16811418726201,0.266,0.022,8.80966996169177e-270,"SSPN"
"NR2F1",0,4.16070293749955,0.318,0.014,0,"NR2F1"
"FXYD1",0,4.15498138523762,0.653,0.039,0,"FXYD1"
"PTGIR",0,4.08590950515074,0.332,0.018,0,"PTGIR"
"PALLD",0,4.01652098351778,0.636,0.058,0,"PALLD"
"FHL1",0,3.98534862408926,0.793,0.165,0,"FHL1"
"FEZ1",0,3.97993222800213,0.338,0.019,0,"FEZ1"
"CES1",0,3.94919824815109,0.846,0.186,0,"CES1"
"PLPP3",0,3.93164358127599,0.609,0.083,0,"PLPP3"
"LMCD1",0,3.9092230497484,0.736,0.088,0,"LMCD1"
"C10orf10",0,3.90083813034729,0.662,0.1,0,"C10orf10"
"CCDC102B",0,3.80320222356913,0.286,0.018,0,"CCDC102B"
"ALDH1A1",0,3.77008117053474,0.774,0.198,0,"ALDH1A1"
"LBH",0,3.71980099651579,0.713,0.089,0,"LBH"
"COL8A1",5.10726841997722e-251,3.7146002557946,0.293,0.032,9.82229862530019e-247,"COL8A1"
"ADARB1",5.19186955859456e-267,3.69621264793388,0.26,0.021,9.98500353508905e-263,"ADARB1"
"GPX3",0,3.66660202352695,0.995,0.355,0,"GPX3"
"BAG2",7.16896078997634e-259,3.66543250011218,0.277,0.026,1.37873453912825e-254,"BAG2"
"EFEMP1",0,3.66042900083578,0.538,0.07,0,"EFEMP1"
"PLEKHA5",1.14986317171727e-253,3.65786187238371,0.293,0.031,2.21141685184666e-249,"PLEKHA5"
"NDN",0,3.64159844942274,0.357,0.036,0,"NDN"
"NID1",1.08623574837108e-279,3.61973001691177,0.258,0.019,2.08904859126726e-275,"NID1"
"A2M",0,3.61092891521503,0.892,0.219,0,"A2M"
"RASL12",7.65304040578855e-302,3.59805891500135,0.253,0.016,1.47183273084125e-297,"RASL12"
"CYP4B1",0,3.59614552329234,0.588,0.106,0,"CYP4B1"
"CRISPLD2",0,3.59084132325525,0.551,0.044,0,"CRISPLD2"
"AASS",1.80790716322515e-195,3.55822166984569,0.26,0.033,3.47696705631461e-191,"AASS"
"ST3GAL4",1.27158760700729e-260,3.53632830246733,0.267,0.023,2.44551728579643e-256,"ST3GAL4"
"CRYAB",0,3.53000809816821,0.615,0.043,0,"CRYAB"
"QSOX1",0,3.46253377910028,0.764,0.193,0,"QSOX1"
"GSTM3",0,3.45778768199056,0.492,0.056,0,"GSTM3"
"SEPT4",1.4357451881175e-233,3.44458018233183,0.309,0.039,2.76122514578758e-229,"SEPT4"
"SERPING1",0,3.41947388180237,0.965,0.3,0,"SERPING1"
"DST",0,3.39999798996105,0.637,0.127,0,"DST"
"PPP1R14A",0,3.38539095290246,0.783,0.079,0,"PPP1R14A"
"LIMCH1",0,3.32367804300664,0.614,0.125,0,"LIMCH1"
"MACF1",8.46536785737194e-288,3.29455734865362,0.635,0.173,1.62805954632977e-283,"MACF1"
"NDRG2",0,3.22932721371831,0.621,0.097,0,"NDRG2"
"SGCE",2.83998995949565e-229,3.21996066615498,0.306,0.039,5.46186869010203e-225,"SGCE"
"SLC40A1",0,3.21831298646974,0.549,0.083,0,"SLC40A1"
"TMEM98",4.55354791424507e-222,3.19894168421355,0.325,0.047,8.75738334867612e-218,"TMEM98"
"USP53",0,3.19004199744831,0.554,0.11,0,"USP53"
"DYNC2LI1",3.01370952224371e-152,3.18759325630946,0.278,0.05,5.79596615317909e-148,"DYNC2LI1"
"NEXN",0,3.160241803938,0.511,0.049,0,"NEXN"
"CSRP1",0,3.14675088754825,0.677,0.178,0,"CSRP1"
"PLAC9",0,3.13255704015206,0.451,0.045,0,"PLAC9"
"SOD3",0,3.11414184321794,0.763,0.126,0,"SOD3"
"FN1",0,3.09665570555924,0.714,0.138,0,"FN1"
"KANK2",3.52080696411825e-255,3.07256082180079,0.331,0.04,6.77121595339223e-251,"KANK2"
"PBX1",3.64912027494391e-225,3.05970357856884,0.333,0.048,7.01798811277212e-221,"PBX1"
"CTSF",2.92057492589165e-160,3.03785247617345,0.299,0.056,5.61684969747482e-156,"CTSF"
"FGFR1",2.52244823815782e-236,3.03121003383326,0.342,0.047,4.85117245162512e-232,"FGFR1"
"ECHDC3",7.36433179632745e-121,2.96983370902999,0.267,0.058,1.4163082910697e-116,"ECHDC3"
"PDLIM3",1.2603659218228e-297,2.96359526763053,0.389,0.047,2.4239357408496e-293,"PDLIM3"
"NNMT",1.76118404356936e-297,2.94987615778618,0.621,0.147,3.38710915259258e-293,"NNMT"
"PLPP1",0,2.90739837460153,0.471,0.071,0,"PLPP1"
"TCEAL4",0,2.89975986162002,0.843,0.312,0,"TCEAL4"
"MMP14",1.52925895214638e-143,2.84539606867838,0.291,0.058,2.94107081676791e-139,"MMP14"
"ALDH6A1",3.16463902422748e-152,2.83484748438272,0.311,0.063,6.08623377139429e-148,"ALDH6A1"
"MFGE8",0,2.83047784335735,0.748,0.193,0,"MFGE8"
"EFEMP2",5.81314835297001e-212,2.82612079795284,0.31,0.042,1.11798469124319e-207,"EFEMP2"
"SEMA3B",9.32694902102114e-173,2.81908452641174,0.256,0.035,1.79375883572279e-168,"SEMA3B"
"MYO10",1.96930427638819e-165,2.8147256888714,0.26,0.039,3.78736598434977e-161,"MYO10"
"GNAI1",5.6276494849539e-178,2.81170331123759,0.267,0.038,1.08230954894633e-173,"GNAI1"
"C3",3.95932597370069e-108,2.81165843462038,0.306,0.082,7.61457571262117e-104,"C3"
"RHOBTB3",2.89093845760361e-202,2.7683119415588,0.324,0.05,5.55985284166326e-198,"RHOBTB3"
"SMIM3",7.78319453066898e-176,2.71653285450771,0.336,0.063,1.49686397213826e-171,"SMIM3"
"SPRY1",0,2.70971208653341,0.522,0.091,0,"SPRY1"
"NPNT",9.17950845643481e-139,2.70318134476598,0.293,0.06,1.76540306634154e-134,"NPNT"
"SH3D19",5.04825985449057e-210,2.69951160518814,0.329,0.049,9.70881335215626e-206,"SH3D19"
"ETV1",8.99151018517624e-115,2.69922003815123,0.26,0.056,1.7292472388131e-110,"ETV1"
"RBMS3",3.97827205037371e-173,2.66606162379453,0.289,0.045,7.65101280727871e-169,"RBMS3"
"FSTL3",1.90908743053584e-236,2.60609559006603,0.345,0.047,3.67155694640653e-232,"FSTL3"
"ECHDC2",3.80131830795498e-108,2.59838881427512,0.311,0.086,7.31069536985901e-104,"ECHDC2"
"TMEM176A",7.44277682335794e-161,2.58526938937773,0.359,0.079,1.4313948386682e-156,"TMEM176A"
"CLU",0,2.58358543157242,0.735,0.129,0,"CLU"
"ADM",4.03762158031847e-129,2.56987413910201,0.437,0.142,7.76515382326848e-125,"ADM"
"KIAA0040",5.54005671311936e-131,2.56355918154557,0.282,0.057,1.06546370706712e-126,"KIAA0040"
"ADAMTS1",1.9717523751048e-232,2.52795574023732,0.392,0.063,3.79207416780154e-228,"ADAMTS1"
"CKB",8.55093378198559e-282,2.52766167869671,0.531,0.105,1.64451558495147e-277,"CKB"
"SMPDL3A",3.04642879236444e-120,2.52619421582943,0.263,0.054,5.85889185347529e-116,"SMPDL3A"
"CD82",1.17169917128402e-202,2.50133995833389,0.514,0.137,2.25341184621343e-198,"CD82"
"PMP22",0,2.47598553685259,0.829,0.272,0,"PMP22"
"MYLK",0,2.46525397122935,0.555,0.1,0,"MYLK"
"TGM2",2.88177037243484e-231,2.45107202541838,0.523,0.122,5.54222078026668e-227,"TGM2"
"SEPP1",0,2.42512031537322,0.945,0.304,0,"SEPP1"
"SEPT11",1.34701108196846e-154,2.42033632217206,0.462,0.142,2.59057171284174e-150,"SEPT11"
"ANXA6",0,2.41941932612415,0.569,0.107,0,"ANXA6"
"CSRP2",7.25578064667674e-173,2.40878525850772,0.309,0.052,1.39543173396887e-168,"CSRP2"
"SLC1A5",4.09960827457111e-130,2.40796993894526,0.408,0.126,7.88436663365517e-126,"SLC1A5"
"NR2F2",1.99645291238106e-204,2.40180522615057,0.355,0.059,3.83957824109125e-200,"NR2F2"
"ROCK2",8.51909759065237e-107,2.35500677050097,0.319,0.088,1.63839284863426e-102,"ROCK2"
"PPM1K",1.02758086502747e-127,2.34053863198665,0.355,0.093,1.97624351962083e-123,"PPM1K"
"PDLIM2",3.00377609578323e-174,2.32763102199341,0.537,0.175,5.7768621874103e-170,"PDLIM2"
"PLTP",6.48770322505279e-198,2.31214158328315,0.423,0.09,1.24771508424215e-193,"PLTP"
"SUN2",1.08445442967741e-219,2.30909981450115,0.612,0.187,2.0856227591556e-215,"SUN2"
"FAM114A1",1.2421318373297e-110,2.29811858309852,0.257,0.055,2.38886794955247e-106,"FAM114A1"
"TCEAL1",1.15771749529739e-108,2.26901797713659,0.351,0.105,2.22652228695594e-104,"TCEAL1"
"HIF3A",1.65876880016512e-176,2.25633157473109,0.364,0.07,3.19014415647755e-172,"HIF3A"
"LRP1",1.06601805728171e-137,2.21543691411384,0.505,0.181,2.05016592776418e-133,"LRP1"
"CALD1",0,2.19051892588715,0.92,0.174,0,"CALD1"
"SELM",6.03660366087893e-280,2.16835336821722,0.735,0.238,1.16095961606024e-275,"SELM"
"TIMP3",0,2.1639985629513,0.943,0.277,0,"TIMP3"
"GCSH",1.55432690032637e-76,2.1553402884335,0.303,0.104,2.98928149470767e-72,"GCSH"
"OSBPL9",1.45182839708422e-73,2.15309351666408,0.283,0.093,2.79215637327238e-69,"OSBPL9"
"ZBTB16",2.11608170928006e-221,2.14580256089595,0.643,0.197,4.06964834328741e-217,"ZBTB16"
"NFIC",3.50574239281025e-166,2.14025725475044,0.584,0.215,6.74224376985268e-162,"NFIC"
"TMEM47",1.32625202789426e-145,2.13072753399185,0.285,0.051,2.55064790004625e-141,"TMEM47"
"AKAP12",0,2.12707654594753,0.517,0.082,0,"AKAP12"
"METTL7A",2.69565178551993e-156,2.07665982286449,0.544,0.19,5.18427751391193e-152,"METTL7A"
"ZNF106",5.59543831658676e-110,2.06179176721985,0.478,0.19,1.07611469704597e-105,"ZNF106"
"TMEM176B",4.96808474999871e-131,2.04778238496976,0.432,0.131,9.55462059119752e-127,"TMEM176B"
"ST6GALNAC6",2.35450758244314e-74,2.03609322681043,0.256,0.076,4.52818898255464e-70,"ST6GALNAC6"
"ADAM9",2.14946214742538e-67,2.03133329069927,0.296,0.105,4.13384560192849e-63,"ADAM9"
"KCNQ1OT1",2.28983976872638e-86,2.02733165226724,0.357,0.125,4.40381984321457e-82,"KCNQ1OT1"
"CNN2",7.08402412579568e-113,2.02043096133202,0.453,0.167,1.36239951987302e-108,"CNN2"
"CYBRD1",2.05400605184273e-102,2.01525196259194,0.357,0.11,3.95026443890394e-98,"CYBRD1"
"LIMA1",1.2468514999824e-136,2.01145519685273,0.459,0.144,2.39794480476615e-132,"LIMA1"
"C1orf21",8.11187347954462e-119,1.99613160963264,0.35,0.094,1.56007550758602e-114,"C1orf21"
"C11orf96",1.18361885873798e-87,1.99466267609232,0.303,0.089,2.27633578912488e-83,"C11orf96"
"CHPT1",7.1296258801583e-96,1.98614346722101,0.417,0.159,1.37116964927204e-91,"CHPT1"
"SPON2",3.60569957646488e-206,1.9810684793957,0.383,0.066,6.93448142545726e-202,"SPON2"
"FXYD6",4.44825456087578e-119,1.97959723571406,0.327,0.081,8.5548831714763e-115,"FXYD6"
"SERPINH1",4.15263069196919e-115,1.96956516062384,0.392,0.119,7.98633934679515e-111,"SERPINH1"
"TMEM43",1.31592718229716e-67,1.96455994264135,0.274,0.092,2.5307911569939e-63,"TMEM43"
"RAB34",5.34668442582294e-81,1.95838032121108,0.393,0.162,1.02827434877427e-76,"RAB34"
"PKIG",1.28301090414789e-145,1.95757776071209,0.422,0.111,2.46748657085721e-141,"PKIG"
"ZBTB20",1.42903511528533e-102,1.94797085360379,0.311,0.084,2.74832033371674e-98,"ZBTB20"
"MAOA",6.84086907835748e-136,1.93987969121586,0.492,0.164,1.31563594114971e-131,"MAOA"
"LHFP",1.14884716078055e-170,1.92793551801195,0.438,0.102,2.20946285961316e-166,"LHFP"
"MYC",2.99276729539828e-80,1.9221529531724,0.402,0.164,5.75569006250997e-76,"MYC"
"TRIP6",1.70768437797249e-45,1.91705387604788,0.263,0.112,3.2842185957167e-41,"TRIP6"
"ADH5",6.4992837182616e-132,1.87594009669073,0.567,0.237,1.24994224469607e-127,"ADH5"
"IGFBP7",4.91176156658495e-125,1.86777161330318,0.569,0.22,9.44629984485617e-121,"IGFBP7"
"MSRB2",4.69618502570971e-65,1.86325737336235,0.34,0.141,9.03170304144492e-61,"MSRB2"
"TCEAL3",7.89536803831882e-75,1.85928200668921,0.369,0.146,1.51843718112947e-70,"TCEAL3"
"GOLIM4",5.38969831685072e-62,1.85328661620879,0.339,0.143,1.03654678029673e-57,"GOLIM4"
"CALU",1.22317518147295e-74,1.84820975818513,0.403,0.176,2.35241050900877e-70,"CALU"
"TNS2",1.37264949720743e-98,1.8446989386297,0.285,0.072,2.63987951302933e-94,"TNS2"
"PRKCDBP",3.61246707721756e-139,1.83997287687525,0.436,0.126,6.94749668290481e-135,"PRKCDBP"
"RGCC",2.74204707658017e-157,1.83569123211162,0.832,0.515,5.27350493767899e-153,"RGCC"
"PRDX6",1.93065459671085e-199,1.82030833523095,0.832,0.512,3.71303492039431e-195,"PRDX6"
"UACA",2.24657208981875e-83,1.81180091964766,0.267,0.073,4.32060744313941e-79,"UACA"
"MORF4L2",2.96607951063527e-166,1.79920950037595,0.728,0.365,5.70436411485374e-162,"MORF4L2"
"IMPDH2",1.33846905033345e-79,1.78285887494611,0.449,0.208,2.5741436776013e-75,"IMPDH2"
"TSC22D1",5.82000443175616e-225,1.77640196226754,0.807,0.328,1.11930325231534e-220,"TSC22D1"
"SPINT2",2.25795749563334e-76,1.75956806075882,0.508,0.268,4.34250385560203e-72,"SPINT2"
"TSPAN4",2.14844046500934e-133,1.75847037124763,0.61,0.266,4.13188070230595e-129,"TSPAN4"
"BGN",5.73273480332052e-266,1.75227470323864,0.359,0.044,1.1025195573746e-261,"BGN"
"BNIP3",6.26862238846176e-102,1.74486015592234,0.425,0.148,1.20558145774897e-97,"BNIP3"
"MT1X",5.5268569011634e-206,1.74341817919624,0.779,0.317,1.06292511923175e-201,"MT1X"
"NFIA",1.46091832283104e-81,1.73669902443851,0.366,0.133,2.80963811846867e-77,"NFIA"
"PLS3",5.17447822318738e-124,1.73517679626298,0.443,0.137,9.95155651883396e-120,"PLS3"
"MARCKS",4.11482210693363e-122,1.72659763910599,0.492,0.171,7.91362587605476e-118,"MARCKS"
"LGALS3BP",4.78877771799376e-127,1.72066908064829,0.575,0.231,9.2097773072456e-123,"LGALS3BP"
"ASPH",1.58801750849563e-55,1.71321428588413,0.356,0.162,3.05407527233879e-51,"ASPH"
"PDE4DIP",6.75042942150585e-32,1.70698345921095,0.252,0.125,1.298242586344e-27,"PDE4DIP"
"SPARCL1",0,1.69881374650884,0.987,0.274,0,"SPARCL1"
"COX7A1",2.08676379272711e-175,1.69129490815502,0.518,0.136,4.01326412617279e-171,"COX7A1"
"NRP1",5.32954199521946e-54,1.68243330552756,0.264,0.097,1.02497751652061e-49,"NRP1"
